file_name	library_size
SM-GE937_S173_E1-50	585546.0
SM-GE8YF_S095_E1-50	2602564.0
SM-GE8X2_S134_E1-50	2051918.0
SM-GE5QE_S067_E1-50	2751568.0
SM-GE643_S179_E1-50	2743646.0
SM-GE93B_S066_E1-50	2087392.0
SM-GE4XY_S083_E1-50	2214622.0
SM-GE5W2_S075_E1-50	2602326.0
SM-GE8XQ_S178_E1-50	4716592.0
SM-GE93B_S084_E1-50	2484900.0
SM-GE5VE_S031_E1-50	3137600.0
SM-GE95A_S021_E1-50	3061948.0
SM-GE8XQ_S019_E1-50	1443036.0
SM-GE4Q8_S063_E1-50	1955252.0
SM-GE66Q_S020_E1-50	2672956.0
SM-GE4RV_S123_E1-50	2682732.0
SM-GE5V2_S080_E1-50	3522100.0
SM-GE8WR_S054_E1-50	2868422.0
SM-GE4RV_S170_E1-50	2892828.0
SM-GE8X2_S183_E1-50	2773194.0
SM-GE94R_S128_E1-50	3103770.0
SM-GE4RN_S089_E1-50	1121652.0
SM-GE5TM_S142_E1-50	2759952.0
SM-GE63H_S183_E1-50	2128550.0
SM-GE5OM_S051_E1-50	161330.0
SM-GE92Y_S056_E1-50	2780980.0
SM-GE5TS_S146_E1-50	2142708.0
PS0817_E1-50_S26	1402906.0
SM-GE5O8_S022_E1-50	2127624.0
SM-GE5VE_S042_E1-50	2538462.0
SM-GE94R_S192_E1-50	2618534.0
SM-GE5OG_S025_E1-50	2818602.0
SM-GE5U1_S165_E1-50	1804608.0
SM-GE65C_S125_E1-50	2071514.0
SM-GE8YF_S073_E1-50	3036976.0
SM-GE5P3_S057_E1-50	3725090.0
SM-GE5V9_S187_E1-50	2679844.0
SM-GE5VJ_S025_E1-50	2606378.0
SM-GE8XF_S031_E1-50	3723028.0
SM-GE4WT_S097_E1-50	1828418.0
SM-GE4S1_S136_E1-50	3274622.0
PS0921_E1-50_S33	4004558.0
SM-GE91V_S190_E1-50	2249514.0
SM-GE8ZP_S186_E1-50	2877504.0
SM-GE4QD_S048_E1-50	2498374.0
SM-GE94J_S034_E1-50	2943190.0
SM-GE67B_S168_E1-50	1897160.0
SM-GE5QL_S181_E1-50	2447284.0
SM-GE93S_S132_E1-50	2308146.0
SM-GE5UX_S182_E1-50	3528098.0
SM-GE5V2_S071_E1-50	2943074.0
SM-GE94R_S143_E1-50	2751860.0
SM-GE4Q2_S130_E1-50	0.0
SM-GE953_S080_E1-50	3331604.0
SM-GE4RN_S047_E1-50	0.0
SM-GE5OG_S006_E1-50	3247436.0
SM-GE5W2_S089_E1-50	2636052.0
SM-GE5PG_S087_E1-50	3303060.0
SM-GE918_S037_E1-50	2889160.0
SM-GE5VJ_S046_E1-50	3248042.0
SM-GE8XQ_S185_E1-50	4190044.0
SM-GE8XQ_S150_E1-50	3451386.0
SM-GE4WN_S071_E1-50	2240840.0
SM-GE93S_S144_E1-50	2402658.0
SM-GE5UQ_S166_E1-50	2210356.0
SM-GE4VK_S073_E1-50	2462526.0
SM-GE4S1_S186_E1-50	1744382.0
SM-GE4RS_S062_E1-50	3020458.0
SM-GE4SJ_S082_E1-50	2442440.0
SM-GE932_S017_E1-50	2980664.0
SM-GE5OG_S013_E1-50	2715542.0
SM-GE5PG_S059_E1-50	2479906.0
SM-GE4RS_S083_E1-50	2808940.0
SM-GE5OS_S140_E1-50	2454136.0
SM-GE8YI_S052_E1-50	3479324.0
SM-GE64F_S097_E1-50	2327664.0
SM-GE672_S183_E1-50	2625042.0
SM-GE8XQ_S146_E1-50	3719492.0
SM-GE5W2_S029_E1-50	2735080.0
SM-GE8YI_S054_E1-50	3571970.0
SM-GE4W2_S129_E1-50	1350076.0
SM-GE4RV_S125_E1-50	3171408.0
SM-J39ZH_S537_E1-50	1390060.0
SM-GE8YI_S047_E1-50	1482356.0
SM-GE4RS_S007_E1-50	2556870.0
SM-GE65D_S175_E1-50	2754460.0
SM-GE8YB_S072_E1-50	3441878.0
SM-GE4Q8_S065_E1-50	2756358.0
SM-GE94J_S051_E1-50	2708286.0
SM-GE8WR_S096_E1-50	2857474.0
SM-GE94B_S191_E1-50	2327056.0
SM-GE95M_S066_E1-50	3064704.0
SM-GE672_S032_E1-50	2283066.0
SM-GE8YZ_S115_E1-50	2424238.0
SM-GE918_S082_E1-50	3232110.0
SM-GE94J_S090_E1-50	2070328.0
SM-GE4QF_S080_E1-50	3009018.0
SM-GE681_S078_E1-50	3197588.0
SM-GE8Y4_S153_E1-50	4241984.0
SM-GE932_S095_E1-50	3468106.0
SM-GE5V2_S004_E1-50	2449360.0
SM-GE66C_S119_E1-50	2726988.0
SM-GE953_S037_E1-50	2915190.0
SM-GE5V2_S063_E1-50	2495260.0
SM-GE5TI_S142_E1-50	2537858.0
SM-GE95M_S005_E1-50	2655988.0
SM-GE5QL_S111_E1-50	2483566.0
SM-GE8XZ_S186_E1-50	2652964.0
SM-GE5UX_S155_E1-50	3395830.0
SM-GE5V9_S169_E1-50	2900960.0
SM-GE4Y5_S134_E1-50	2654266.0
SM-GE8YK_S068_E1-50	3173650.0
SM-GE8XW_S052_E1-50	2462010.0
SM-GE63H_S120_E1-50	2988192.0
SM-GE4QF_S095_E1-50	2934580.0
SM-GE4RN_S056_E1-50	0.0
SM-GE5U8_S049_E1-50	3540060.0
SM-GE8XZ_S117_E1-50	3091374.0
SM-GE8YZ_S178_E1-50	2501958.0
SM-GE8X4_S133_E1-50	2785890.0
SM-GE8YI_S090_E1-50	3484726.0
SM-J39WG_S242_E1-50	469148.0
SM-GE8X2_S171_E1-50	2667418.0
SM-GE4QV_S060_E1-50	2438350.0
SM-GE4Q2_S138_E1-50	0.0
SM-GE4Y5_S184_E1-50	2767296.0
SM-GE95A_S003_E1-50	2783264.0
SM-GE8XQ_S118_E1-50	3564066.0
SM-GE5V2_S079_E1-50	2289272.0
SM-GE95M_S019_E1-50	1737090.0
SM-GE932_S070_E1-50	3214556.0
SM-GE8YB_S077_E1-50	3128952.0
SM-GE8XF_S089_E1-50	4037856.0
SM-GE5VJ_S042_E1-50	2422310.0
SM-GE8WI_S171_E1-50	2821320.0
SM-GE8X4_S134_E1-50	3089434.0
SM-GE67S_S119_E1-50	2869818.0
SM-GE5TS_S185_E1-50	2429870.0
SM-GE652_S131_E1-50	2564882.0
SM-GE64F_S129_E1-50	2307190.0
SM-GE95M_S081_E1-50	2538310.0
SM-GE8XQ_S124_E1-50	3263108.0
SM-GE5TS_S162_E1-50	2756132.0
SM-GE4WV_S117_E1-50	1296314.0
SM-GE5PG_S068_E1-50	2465264.0
SM-GE5VR_S146_E1-50	3114220.0
SM-GE5V9_S157_E1-50	2905898.0
SM-GE4WN_S086_E1-50	2077734.0
SM-GE5V2_S022_E1-50	3101992.0
SM-GE91V_S153_E1-50	2708974.0
SM-GE92K_S111_E1-50	2916188.0
SM-GE932_S040_E1-50	3018688.0
SM-GE8XZ_S188_E1-50	2517896.0
SM-GE4Q8_S066_E1-50	2091902.0
SM-GE5P3_S062_E1-50	2920618.0
SM-GE5V9_S160_E1-50	3466970.0
SM-GE4QQ_S159_E1-50	3037868.0
SM-GE4RS_S073_E1-50	2841646.0
SM-GE8WR_S045_E1-50	2946422.0
SM-GE66Q_S043_E1-50	2730296.0
SM-GE4QV_S086_E1-50	2411950.0
SM-GE91V_S174_E1-50	3320438.0
SM-GE8WX_S032_E1-50	2715198.0
SM-GE64T_S131_E1-50	2731928.0
SM-GE8XW_S006_E1-50	2566314.0
SM-GE643_S167_E1-50	3032766.0
SM-GE94R_S185_E1-50	2987000.0
SM-GE5VE_S066_E1-50	2850544.0
SM-GE5V9_S177_E1-50	3118168.0
SM-GE4RI_S189_E1-50	1907704.0
SM-GE953_S034_E1-50	1740972.0
SM-GE66C_S112_E1-50	2353742.0
SM-GE5VE_S086_E1-50	3027382.0
SM-GE95M_S001_E1-50	2720918.0
SM-GE936_S003_E1-50	2365218.0
SM-GE67S_S114_E1-50	2871684.0
SM-GE5OW_S127_E1-50	2663822.0
SM-GE4Y5_S161_E1-50	2675718.0
SM-GE8ZX_S191_E1-50	2487696.0
SM-GE4QV_S038_E1-50	2730976.0
SM-GE8XZ_S118_E1-50	2885102.0
SM-GE66P_S086_E1-50	2708212.0
SM-GE4WC_S054_E1-50	2673162.0
SM-GE5PA_S093_E1-50	2124474.0
SM-GE5UX_S136_E1-50	2448990.0
SM-GE8XZ_S115_E1-50	2984560.0
SM-GE8YI_S040_E1-50	1777388.0
SM-GE4WT_S162_E1-50	2707026.0
SM-GE8YR_S192_E1-50	2485924.0
SM-GE95N_S131_E1-50	2469812.0
SM-GE5OS_S181_E1-50	2762990.0
SM-GE4S1_S133_E1-50	2293336.0
SM-GE5TI_S146_E1-50	2405068.0
SM-GE5PA_S083_E1-50	2390684.0
SM-GE8YK_S066_E1-50	3321982.0
SM-GE4XY_S189_E1-50	2689208.0
SM-GE5UX_S144_E1-50	4829658.0
SM-GE5V9_S191_E1-50	2919084.0
SM-GE5VE_S067_E1-50	2948996.0
SM-GE67R_S038_E1-50	2282460.0
SM-GE94R_S169_E1-50	2775396.0
SM-GE4QZ_S165_E1-50	2074500.0
SM-GE8ZC_S106_E1-50	4008456.0
SM-GE92Y_S031_E1-50	3551170.0
SM-GE92A_S072_E1-50	2905692.0
SM-GE65H_S031_E1-50	2260630.0
SM-GE5TM_S168_E1-50	3021842.0
SM-GE4XY_S187_E1-50	2544802.0
SM-GE4QV_S079_E1-50	1365968.0
SM-GE936_S045_E1-50	2630882.0
SM-GE4QF_S091_E1-50	2839868.0
SM-GE4Q2_S158_E1-50	1511098.0
SM-GE8YR_S146_E1-50	2573372.0
SM-GE5UU_S095_E1-50	3495312.0
SM-GE5VJ_S085_E1-50	3550968.0
SM-GE8YB_S018_E1-50	3197158.0
SM-GE5TS_S151_E1-50	2350926.0
SM-GE5TI_S163_E1-50	2982164.0
SM-GE8Y4_S152_E1-50	3397362.0
SM-GE8YI_S065_E1-50	705284.0
SM-GE8ZI_S183_E1-50	3194820.0
SM-GE5U8_S077_E1-50	2935590.0
SM-GE91Q_S034_E1-50	2837420.0
SM-GE5PG_S016_E1-50	5168566.0
SM-GE8YB_S044_E1-50	2832126.0
SM-GE63V_S185_E1-50	2835992.0
SM-GE8X4_S135_E1-50	2348082.0
SM-J39ZH_S505_E1-50	1355410.0
SM-GE681_S067_E1-50	2228726.0
SM-GE5OS_S136_E1-50	1803076.0
SM-GE8X4_S161_E1-50	2791876.0
SM-GE5UU_S047_E1-50	3456572.0
SM-GE666_S014_E1-50	2331536.0
SM-GE8ZC_S132_E1-50	3447370.0
SM-J39W4_S180_E1-50	963180.0
SM-GE8YF_S033_E1-50	2664166.0
SM-GE8YF_S090_E1-50	2628860.0
SM-GE5QL_S144_E1-50	2355188.0
SM-GE5O8_S035_E1-50	1794590.0
SM-GE95A_S023_E1-50	482542.0
SM-GE93J_S051_E1-50	2963544.0
SM-GE64F_S162_E1-50	1610248.0
SM-GE5UU_S024_E1-50	3544354.0
SM-GE5OW_S128_E1-50	2725558.0
SM-GE64V_S117_E1-50	2913218.0
SM-GE953_S073_E1-50	2486394.0
SM-GE66Q_S041_E1-50	2546286.0
SM-GE5V2_S046_E1-50	2515740.0
SM-GE8YZ_S155_E1-50	2153642.0
SM-GE953_S054_E1-50	3252850.0
SM-GE5VJ_S021_E1-50	3452606.0
SM-GE672_S030_E1-50	2771476.0
SM-GE4QQ_S123_E1-50	2078930.0
SM-GE4QV_S037_E1-50	2743004.0
SM-GE5V2_S039_E1-50	2113704.0
SM-GE8ZI_S170_E1-50	3093462.0
SM-J39TJ_S287_E1-50	1695792.0
SM-GE5QL_S128_E1-50	2487718.0
SM-GE4XY_S036_E1-50	2675498.0
SM-GE66C_S115_E1-50	2455178.0
SM-GE4VR_S182_E1-50	2173222.0
SM-GE5UU_S085_E1-50	288098.0
SM-GE5UQ_S133_E1-50	2459134.0
SM-GE67D_S091_E1-50	2202592.0
SM-GE4RS_S021_E1-50	3657290.0
SM-GE5P3_S029_E1-50	2831552.0
SM-GE8XF_S091_E1-50	3669644.0
SM-GE5VR_S104_E1-50	3188676.0
SM-GE5OW_S183_E1-50	2528906.0
SM-GE4WN_S088_E1-50	1606382.0
SM-GE8ZP_S184_E1-50	2850808.0
SM-GE5TI_S144_E1-50	2631142.0
SM-GE5VE_S016_E1-50	2540996.0
SM-GE8XW_S039_E1-50	2770034.0
SM-GE4VR_S167_E1-50	2588160.0
SM-GE95M_S011_E1-50	2905176.0
SM-GE4RS_S013_E1-50	3072334.0
SM-GE8YF_S034_E1-50	2151276.0
SM-GE8XQ_S040_E1-50	2310670.0
SM-GE8Y4_S181_E1-50	3083792.0
SM-GE62S_S126_E1-50	2698132.0
SM-GE4VR_S160_E1-50	2282834.0
SM-GE94B_S158_E1-50	2214416.0
SM-GE8XZ_S112_E1-50	3117054.0
SM-GE4RS_S132_E1-50	3064038.0
SM-GE8Y4_S157_E1-50	3355240.0
SM-GE8YB_S039_E1-50	3248426.0
SM-GE66Q_S006_E1-50	2592824.0
SM-GE8XQ_S190_E1-50	3411296.0
SM-GE4QF_S014_E1-50	2630540.0
SM-GE5VR_S155_E1-50	3208118.0
SM-GE4WT_S164_E1-50	2591154.0
SM-GE5P3_S039_E1-50	2644668.0
SM-GE8ZI_S131_E1-50	3198718.0
SM-GE94J_S076_E1-50	1631064.0
SM-GE4XY_S072_E1-50	2878070.0
SM-J39TJ_S268_E1-50	1186048.0
SM-GE5O8_S016_E1-50	2828626.0
SM-GE8YB_S085_E1-50	3253790.0
SM-GE66E_S139_E1-50	2713018.0
SM-GE4XY_S080_E1-50	2942236.0
